Group,prime,target,question,answer,prime_type,target_type,prime_id,target_id,ques_ind
b2,The doctor mistook the symptoms for food poisoning.,The family cheerfully decorated the house just in time for the holidays.,Did the family enjoy decorating the house?,Yes,Filler,Filler,filler27,filler48,1
b2,The miserable man wrote an apology to his heartbroken fiancee.,The popular musician sold the undercover agent some cocaine.,Did the musician buy cocaine?,No,PO,DO,wrote2,sold1,1
b2,The talented lawyer argued that her client had never been to the scene of the crime.,The babysitter ran frantically after the misbehaving children in the park.,Were the children well behaved?,No,Filler,Filler,filler41,filler30,1
b2,The ignorant teenager fed some chocolate to the cute cat.,The energetic lifeguard tossed the struggling child a rope.,Was the child swimming in a leisurely manner?,No,PO,DO,fed2,tossed1,1
b2,Anita lay on the grass and looked up at the stars.,The ornate clock chimed loudly every time it struck a new hour.,Was the clock working?,Yes,Filler,Filler,filler26,filler2,1
b2,The artistic secretary baked a cake for her gentle boss.,The animated teacher told the eager children a story.,Did the secretary bake a cake?,Yes,PO,DO,baked1,told2,0
b2,The basketball player's ankle swelled as he limped off the court.,"Even though Joanna flew directly to Boston on Friday, she still missed the conference.",Was the basketball player's knee hurt?,No,Filler,Filler,filler35,filler23,0
b2,The considerate director promised a promotion to his employees.,The infamous politician told the influential columnist a secret.,Did the director care about his employees?,Yes,PO,DO,promised1,told1,0
b2,The excited toddler blew out all the candles and wished for a pony.,The new manager undid most of the good work of his predecessor.,Was the new manager better than his predecessor?,No,Filler,Filler,filler7,filler25,1
b2,The dutiful father baked some pie for his loving family.,The enthusiastic volunteers offered the sick patients the soup.,Was it the mother who baked the pie?,No,PO,DO,baked2,offered2,0
b2,The knight from the storybook slew a dragon to get into the castle.,The two students exchanged notes until they were caught by the teacher.,Did the students exchange gifts?,No,Filler,Filler,filler38,filler19,1
b2,The quiet caregiver read the sleepy infant a book.,The thoughtful kids saved their hungry mother some food.,Did the kids leave some food?,Yes,DO,DO,read2,saved2,1
b2,Lily stepped on a lot of toes when she joined the company.,The gardener mowed the wide lawns and seeded them.,Did Lily upset people when she joined the company?,Yes,Filler,Filler,filler59,filler29,0
b2,The wealthy widow left the Catholic church her property.,The philanthropic foundation gave the dying university some money.,Was the university struggling finanically?,Yes,DO,DO,left2,gave1,1
b2,The celebrity redid her makeup before going on stage.,The strict instructor confiscated the students' cell phones before class.,Did the celebirty go on stage?,Yes,Filler,Filler,filler33,filler44,0
b2,The steadfast emperor promised the intrepid hunter a reward.,The corrupt inspector offered the bar owner a deal.,Was the inspector law abiding?,No,DO,DO,promised2,offered1,1
b2,Foreigners unfailingly fell in love with the place.,The host family eagerly welcomed their exchange student with smiles and a meal.,Did foreigners like the place?,Yes,Filler,Filler,filler21,filler37,0
b2,The tired woman handed her dazed husband the baby.,The stern governess made the distressed princess some tea.,Did the husband give the baby to his wife?,No,DO,DO,handed1,made1,0
b2,The sparkles on the celebrity's dress glittered under the harsh lighting.,The energetic cat batted at the dust specks floating in the air.,Were there dust specks in the air?,Yes,Filler,Filler,filler22,filler42,1
b2,The zealous prince built a palace for his charming lover.,The management company rented the government agency the building.,Did the prince build a palace?,Yes,PO,DO,built2,rented1,0
b2,The teacher saw through the mischievous student's act.,The hungry dog ate all of the food in the bowl.,Was the teacher aware that the student was acting?,Yes,Filler,Filler,filler34,filler20,0
b2,The lively grandmother sewed her pretty granddaughter a dress.,The little girl gave her older brother the toy.,Was the grandmother tired?,No,DO,DO,sewed1,gave2,0
b2,The disappointed teacher graded the final exams very harshly.,The businessman strode purposefully into the meeting.,Was the teacher unhappy with the students' performance?,Yes,Filler,Filler,filler53,filler55,0
